epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4633.13,0.73724,0.62169,1.26791,0.71763,0.69283,0.74011,0.5358,1.0931,0.67972,1.6552,0.001585,0.001585,0.001585
87,4688.45,0.7254,0.6055,1.25843,0.7448,0.67414,0.73582,0.53067,1.09865,0.66946,1.66575,0.001486,0.001486,0.001486
88,4741.21,0.72751,0.60394,1.25408,0.7368,0.68837,0.74599,0.53605,1.09472,0.6583,1.6672,0.001387,0.001387,0.001387
89,4792.94,0.72096,0.59299,1.25484,0.72748,0.7099,0.74645,0.53721,1.09072,0.66037,1.66246,0.001288,0.001288,0.001288
90,4845.34,0.72784,0.60056,1.2595,0.76065,0.70252,0.74921,0.53127,1.09292,0.65323,1.66433,0.001189,0.001189,0.001189
91,4933.32,0.64063,0.37942,1.27623,0.75441,0.68938,0.75078,0.52507,1.09873,0.64929,1.67326,0.00109,0.00109,0.00109
92,4984.46,0.62451,0.35183,1.26069,0.73446,0.69412,0.75244,0.52651,1.10051,0.64959,1.67195,0.000991,0.000991,0.000991
93,5035.4,0.60735,0.3405,1.2449,0.72114,0.72372,0.75962,0.53525,1.09404,0.6386,1.66342,0.000892,0.000892,0.000892
94,5086.33,0.59317,0.33462,1.22984,0.76454,0.67915,0.75909,0.53869,1.08683,0.64016,1.66206,0.000793,0.000793,0.000793
95,5137.66,0.59364,0.33095,1.23236,0.71235,0.73075,0.75415,0.5384,1.08449,0.64198,1.65778,0.000694,0.000694,0.000694
96,5188.42,0.58154,0.32392,1.22453,0.72494,0.71754,0.75633,0.53996,1.081,0.63785,1.65861,0.000595,0.000595,0.000595
97,5239.8,0.57653,0.32054,1.21184,0.72286,0.72263,0.75616,0.54092,1.08362,0.63673,1.66461,0.000496,0.000496,0.000496
98,5290.69,0.56716,0.3176,1.20849,0.73198,0.71204,0.75436,0.542,1.08555,0.64023,1.67453,0.000397,0.000397,0.000397
99,5342.49,0.55988,0.3078,1.20116,0.73621,0.71368,0.75498,0.5423,1.0874,0.63737,1.68051,0.000298,0.000298,0.000298
100,5394.04,0.55935,0.30978,1.1986,0.72965,0.71244,0.75212,0.54247,1.08549,0.6408,1.67787,0.000199,0.000199,0.000199
