epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3210.69,0.79432,0.66585,1.30133,0.72229,0.69818,0.73346,0.51302,1.19823,0.7463,1.78799,0.0077824,0.0077824,0.0077824
58,3266.99,0.8056,0.68343,1.31034,0.72112,0.67657,0.72758,0.52646,1.16642,0.74111,1.73911,0.0077428,0.0077428,0.0077428
59,3322.27,0.79794,0.67314,1.30207,0.73681,0.70579,0.75065,0.52153,1.25247,0.72874,1.89674,0.0077032,0.0077032,0.0077032
60,3377.98,0.80283,0.67,1.30354,0.73072,0.70292,0.7488,0.52898,1.22809,0.71466,1.82831,0.0076636,0.0076636,0.0076636
61,3434,0.7931,0.66735,1.29832,0.70606,0.70503,0.73623,0.51531,1.20537,0.73033,1.80985,0.007624,0.007624,0.007624
62,3490.25,0.79592,0.67423,1.29935,0.69543,0.72039,0.7501,0.52723,1.21774,0.71233,1.86833,0.0075844,0.0075844,0.0075844
63,3545.99,0.79631,0.65799,1.2999,0.72004,0.69262,0.73964,0.52605,1.20118,0.7182,1.83213,0.0075448,0.0075448,0.0075448
64,3603.55,0.79948,0.67024,1.30207,0.71563,0.70125,0.73518,0.5242,1.17709,0.83822,1.78868,0.0075052,0.0075052,0.0075052
65,3659.03,0.79452,0.66758,1.30516,0.72264,0.68782,0.74519,0.53268,1.12799,0.75607,1.70894,0.0074656,0.0074656,0.0074656
66,3715.09,0.79652,0.66934,1.29943,0.72504,0.69265,0.73794,0.52883,1.2013,0.71297,1.85488,0.007426,0.007426,0.007426
67,3770.93,0.79132,0.66572,1.29698,0.71442,0.71196,0.73775,0.52621,1.21976,0.72128,1.86907,0.0073864,0.0073864,0.0073864
68,3826.61,0.79107,0.6634,1.30008,0.70562,0.71102,0.73568,0.51933,1.21075,0.69238,1.86195,0.0073468,0.0073468,0.0073468
69,3883.1,0.78698,0.64715,1.2952,0.6964,0.70653,0.75166,0.52989,1.20112,0.70173,1.86311,0.0073072,0.0073072,0.0073072
70,3939.1,0.78544,0.65416,1.28987,0.74838,0.70153,0.75085,0.52354,1.22329,0.6774,1.92362,0.0072676,0.0072676,0.0072676
71,3994.14,0.78516,0.66078,1.2948,0.7606,0.65854,0.75419,0.53833,1.21063,0.73753,1.86627,0.007228,0.007228,0.007228
72,4048.83,0.78323,0.66111,1.28828,0.71283,0.69483,0.74562,0.53035,1.23526,0.72182,1.90344,0.0071884,0.0071884,0.0071884
73,4103.59,0.77922,0.65165,1.28568,0.72759,0.6769,0.73488,0.53058,1.21622,0.68719,1.85209,0.0071488,0.0071488,0.0071488
74,4159.66,0.77786,0.64538,1.28397,0.75111,0.68054,0.75821,0.54322,1.15411,0.76465,1.74135,0.0071092,0.0071092,0.0071092
75,4214.82,0.77145,0.64589,1.28455,0.703,0.7292,0.74707,0.53484,1.21664,0.70775,1.83666,0.0070696,0.0070696,0.0070696
76,4271.02,0.7716,0.64251,1.28096,0.70967,0.69958,0.74602,0.53539,1.13819,0.74662,1.71418,0.00703,0.00703,0.00703
77,4328.67,0.7839,0.64742,1.28623,0.71994,0.71331,0.74617,0.52666,1.12541,0.76227,1.70089,0.0069904,0.0069904,0.0069904
78,4385.3,0.77569,0.64079,1.2828,0.71967,0.706,0.73666,0.52778,1.24018,0.70428,1.93068,0.0069508,0.0069508,0.0069508
79,4441.82,0.77089,0.63442,1.27806,0.69605,0.71119,0.73819,0.53732,1.21901,0.68791,1.86379,0.0069112,0.0069112,0.0069112
80,4497.02,0.77393,0.63336,1.28026,0.72472,0.71839,0.74867,0.53261,1.21535,0.69315,1.84042,0.0068716,0.0068716,0.0068716
81,4551.8,0.76671,0.63285,1.27219,0.71875,0.67834,0.72279,0.52797,1.23671,0.70506,1.89117,0.006832,0.006832,0.006832
82,4606.86,0.76177,0.63441,1.2773,0.73265,0.71104,0.74856,0.53802,1.23383,0.66661,1.87127,0.0067924,0.0067924,0.0067924
83,4661.98,0.76589,0.63073,1.27453,0.71799,0.69503,0.74954,0.5406,1.18986,0.66916,1.78485,0.0067528,0.0067528,0.0067528
84,4716.41,0.77442,0.64041,1.28262,0.69562,0.742,0.75631,0.5473,1.16832,0.70886,1.75997,0.0067132,0.0067132,0.0067132
85,4770.98,0.76541,0.62431,1.27832,0.74886,0.69087,0.74721,0.53759,1.14412,0.69683,1.72119,0.0066736,0.0066736,0.0066736
86,4826.97,0.76887,0.63129,1.27954,0.74395,0.67235,0.75054,0.53743,1.11514,0.74768,1.68747,0.006634,0.006634,0.006634
87,4882.55,0.755,0.61953,1.26595,0.73689,0.68805,0.75492,0.54289,1.12789,0.69987,1.70327,0.0065944,0.0065944,0.0065944
88,4937.24,0.7619,0.62035,1.26718,0.72129,0.71312,0.75355,0.54621,1.11247,0.68673,1.69506,0.0065548,0.0065548,0.0065548
89,4991.98,0.7598,0.62159,1.26933,0.70672,0.72575,0.75692,0.54991,1.10901,0.68616,1.68903,0.0065152,0.0065152,0.0065152
90,5046.11,0.76213,0.62032,1.27358,0.73873,0.71983,0.76074,0.54422,1.10327,0.72319,1.67187,0.0064756,0.0064756,0.0064756
91,5100.43,0.75313,0.61235,1.26706,0.74273,0.68774,0.74677,0.54168,1.09727,0.74285,1.67478,0.006436,0.006436,0.006436
92,5154.56,0.75346,0.61246,1.26758,0.70078,0.71806,0.75385,0.54512,1.14392,0.74025,1.76518,0.0063964,0.0063964,0.0063964
93,5208.81,0.75996,0.62431,1.26965,0.73344,0.69369,0.75549,0.53912,1.17133,0.71339,1.79524,0.0063568,0.0063568,0.0063568
94,5263.12,0.75703,0.61304,1.26575,0.71039,0.70363,0.75167,0.53763,1.13312,0.721,1.72488,0.0063172,0.0063172,0.0063172
95,5317.3,0.74195,0.6029,1.25645,0.73127,0.68811,0.75055,0.53941,1.1449,0.75656,1.74417,0.0062776,0.0062776,0.0062776
96,5371.58,0.75451,0.6116,1.26175,0.71317,0.71953,0.75597,0.54442,1.17851,0.68253,1.80961,0.006238,0.006238,0.006238
97,5426.65,0.744,0.60879,1.25947,0.75416,0.70095,0.75844,0.54387,1.18502,0.66681,1.82532,0.0061984,0.0061984,0.0061984
98,5480.92,0.74259,0.59605,1.25441,0.7468,0.70216,0.7559,0.54254,1.19058,0.68405,1.86551,0.0061588,0.0061588,0.0061588
99,5535.35,0.74694,0.58852,1.25958,0.71317,0.71167,0.75112,0.54058,1.19102,0.71041,1.87029,0.0061192,0.0061192,0.0061192
100,5589.75,0.73865,0.59087,1.25479,0.73885,0.69622,0.74743,0.53685,1.19395,0.6911,1.88156,0.0060796,0.0060796,0.0060796
101,5644.02,0.7328,0.59299,1.25229,0.74628,0.7087,0.75372,0.54058,1.19015,0.67413,1.87078,0.00604,0.00604,0.00604
102,5698.68,0.74402,0.59908,1.26284,0.74618,0.6926,0.73804,0.54177,1.17879,0.65482,1.82782,0.0060004,0.0060004,0.0060004
103,5753.03,0.7403,0.58857,1.25505,0.73026,0.7076,0.74618,0.53927,1.16375,0.70494,1.79647,0.0059608,0.0059608,0.0059608
104,5807.33,0.74069,0.58851,1.25057,0.73375,0.69723,0.74112,0.53712,1.10311,0.73608,1.6918,0.0059212,0.0059212,0.0059212
105,5861.9,0.73459,0.59095,1.25179,0.73934,0.68608,0.7471,0.54477,1.09572,0.75152,1.67491,0.0058816,0.0058816,0.0058816
106,5916.03,0.72652,0.58095,1.24498,0.71814,0.7139,0.74963,0.54506,1.10275,0.78931,1.68725,0.005842,0.005842,0.005842
107,5970.84,0.73594,0.59217,1.2529,0.72479,0.71451,0.76029,0.55249,1.16988,0.67021,1.80986,0.0058024,0.0058024,0.0058024
108,6025.17,0.7324,0.57882,1.24707,0.73636,0.70902,0.76745,0.55562,1.20066,0.65404,1.88147,0.0057628,0.0057628,0.0057628
109,6079.52,0.73108,0.59022,1.25056,0.72419,0.72426,0.76577,0.55446,1.2039,0.64594,1.87625,0.0057232,0.0057232,0.0057232
110,6133.99,0.72872,0.58266,1.24939,0.72721,0.71444,0.77002,0.55542,1.20561,0.65116,1.87278,0.0056836,0.0056836,0.0056836
111,6188.14,0.71854,0.57412,1.23853,0.75272,0.70949,0.77447,0.55364,1.20423,0.65004,1.88402,0.005644,0.005644,0.005644
112,6242.57,0.72694,0.58294,1.24894,0.73399,0.72184,0.76931,0.54624,1.19686,0.65456,1.85997,0.0056044,0.0056044,0.0056044
113,6297.37,0.7273,0.57615,1.24599,0.74463,0.71382,0.77227,0.54873,1.19446,0.65848,1.8526,0.0055648,0.0055648,0.0055648
114,6352.15,0.72364,0.57039,1.24064,0.7494,0.69394,0.76887,0.55004,1.19074,0.65971,1.84432,0.0055252,0.0055252,0.0055252
115,6406.55,0.72732,0.58292,1.24425,0.71148,0.72577,0.76341,0.5472,1.15381,0.71603,1.77923,0.0054856,0.0054856,0.0054856
116,6461.01,0.71853,0.57312,1.23839,0.72053,0.71715,0.76408,0.54768,1.10222,0.77096,1.68384,0.005446,0.005446,0.005446
117,6515.82,0.71601,0.57426,1.24059,0.70928,0.73175,0.76511,0.54972,1.09544,0.73567,1.66738,0.0054064,0.0054064,0.0054064
118,6570.61,0.71151,0.56016,1.23217,0.72014,0.73087,0.76664,0.55415,1.10178,0.75983,1.67844,0.0053668,0.0053668,0.0053668
119,6624.92,0.72043,0.56881,1.23264,0.72798,0.70256,0.76262,0.55208,1.09745,0.71924,1.67648,0.0053272,0.0053272,0.0053272
120,6680.14,0.71571,0.56336,1.23822,0.74808,0.6763,0.75434,0.55112,1.09132,0.72856,1.67097,0.0052876,0.0052876,0.0052876
121,6735.78,0.70991,0.5692,1.23807,0.71642,0.71802,0.7558,0.55125,1.09346,0.75208,1.67391,0.005248,0.005248,0.005248
122,6791.03,0.70817,0.55878,1.23207,0.72161,0.71869,0.76123,0.54849,1.11322,0.76359,1.70512,0.0052084,0.0052084,0.0052084
123,6846.12,0.71442,0.56312,1.23467,0.72366,0.70974,0.76179,0.55019,1.10391,0.74613,1.6934,0.0051688,0.0051688,0.0051688
124,6901.01,0.70569,0.5578,1.23136,0.73775,0.70872,0.76497,0.5503,1.11043,0.72477,1.70221,0.0051292,0.0051292,0.0051292
125,6956.81,0.69917,0.56098,1.2206,0.74458,0.7132,0.76152,0.55184,1.10946,0.73952,1.7036,0.0050896,0.0050896,0.0050896
126,7011.86,0.70063,0.55246,1.22769,0.74046,0.71813,0.76261,0.55321,1.11182,0.76415,1.71271,0.00505,0.00505,0.00505
127,7066.33,0.70146,0.55498,1.22437,0.74428,0.71307,0.76163,0.55149,1.11124,0.76112,1.70791,0.0050104,0.0050104,0.0050104
128,7119.05,0.69975,0.55241,1.22598,0.74063,0.72381,0.76806,0.54957,1.10983,0.76192,1.7055,0.0049708,0.0049708,0.0049708
129,7172.24,0.69398,0.55194,1.21923,0.74322,0.7136,0.76841,0.54947,1.11325,0.75865,1.70461,0.0049312,0.0049312,0.0049312
130,7227.3,0.69262,0.54768,1.21916,0.73363,0.72816,0.76568,0.54949,1.11757,0.76812,1.71014,0.0048916,0.0048916,0.0048916
131,7283.3,0.69341,0.54414,1.21774,0.73694,0.72459,0.76703,0.55177,1.12108,0.76048,1.7287,0.004852,0.004852,0.004852
132,7339.72,0.6948,0.54808,1.22028,0.73967,0.72432,0.76612,0.5499,1.12869,0.76205,1.74483,0.0048124,0.0048124,0.0048124
133,7394.27,0.69235,0.53855,1.21987,0.73847,0.72479,0.77327,0.55017,1.12862,0.76217,1.74485,0.0047728,0.0047728,0.0047728
134,7449.86,0.69093,0.55066,1.21869,0.7455,0.71619,0.77335,0.55121,1.12943,0.75684,1.75112,0.0047332,0.0047332,0.0047332
135,7506.62,0.69489,0.54308,1.22049,0.73828,0.71765,0.77089,0.55282,1.12702,0.75614,1.74917,0.0046936,0.0046936,0.0046936
136,7562.11,0.69569,0.54913,1.21861,0.73986,0.70864,0.7612,0.54803,1.13107,0.7554,1.75273,0.004654,0.004654,0.004654
137,7616.85,0.7005,0.54888,1.21992,0.74377,0.70402,0.75886,0.54894,1.11921,0.75923,1.72696,0.0046144,0.0046144,0.0046144
138,7672,0.68167,0.53632,1.20872,0.74267,0.70085,0.76006,0.54846,1.10052,0.76307,1.69576,0.0045748,0.0045748,0.0045748
139,7726.41,0.68727,0.54154,1.21405,0.74324,0.70239,0.76538,0.54662,1.09791,0.74477,1.69211,0.0045352,0.0045352,0.0045352
140,7780.78,0.68676,0.53687,1.21331,0.70973,0.73805,0.76615,0.54649,1.09697,0.73667,1.69109,0.0044956,0.0044956,0.0044956
141,7835.19,0.6807,0.53405,1.2068,0.70944,0.72957,0.76322,0.54707,1.09636,0.7303,1.69071,0.004456,0.004456,0.004456
142,7889.47,0.68153,0.52499,1.21036,0.72191,0.71858,0.75872,0.54674,1.09644,0.73082,1.69003,0.0044164,0.0044164,0.0044164
